C;1000;CIUDAD AUTONOMA DE BUENOS AIRES
C;1425;PALERMO
C;1428;BELGRANO
C;1405;CABALLITO
C;1107;PUERTO MADERO
C;1064;SAN TELMO
C;1160;RECOLETA
C;1431;VILLA URQUIZA
C;1414;VILLA CRESPO
C;1406;FLORES
B;1900;LA PLATA
B;1900;TOLOSA
B;1900;RINGUELET
B;7600;MAR DEL PLATA
B;7600;BATAN
B;8000;BAHIA BLANCA
B;8000;INGENIERO WHITE
B;1640;MARTINEZ
B;1642;SAN ISIDRO
B;1643;BECCAR
B;1646;SAN FERNANDO
B;1648;TIGRE
B;1708;MORON
B;1704;RAMOS MEJIA
B;1706;HAEDO
B;1824;LANUS
B;1832;LOMAS DE ZAMORA
B;1878;QUILMES
B;1876;BERNAL
B;2700;PERGAMINO
B;2900;SAN NICOLAS DE LOS ARROYOS
B;7000;TANDIL
B;6700;LUJAN
B;6600;MERCEDES
B;6400;TRENQUE LAUQUEN
B;7100;DOLORES
B;7400;OLAVARRIA
B;7500;TRES ARROYOS
B;7107;SANTA TERESITA
B;7111;SAN BERNARDO
K;4743;ACONQUIJA
K;4701;ACOSTILLA
K;4234;ACHALCO
K;5263;ADOLFO E. CARRANZA
K;4139;AGUA AMARILLA (LA HOYADA, DPTO. SANTA MARIA)
K;4139;AGUA AMARILLA (PUNTA DE BALASTO, DPTO. SANTA MARIA)
K;4701;AMANA
K;4701;ANCASTI
K;4701;ANQUINCILA
K;4705;ANDALGALA
K;4707;BELEN
K;4723;FIAMBALA
K;4722;TINOGASTA
K;4700;SAN FERNANDO DEL VALLE DE CATAMARCA
K;4700;VALLE VIEJO
K;4728;RECREO
K;5260;ACHERAL
K;5261;AGUA DEL SIMBOL
K;5265;AGUA LOS MATOS
K;5263;BUENA VISTA (ADOLFO E. CARRANZA, DPTO. CAPAYAN)
K;5263;EL QUIMILO
H;3500;RESISTENCIA
H;3500;BARRANQUERAS
H;3500;PUERTO VILELAS
H;3503;FONTANA
H;3700;PRESIDENCIA ROQUE SAENZ PENA
H;3705;QUITILIPI
H;3712;MACHAGAI
H;3730;CHARATA
H;3732;GENERAL PINEDO
H;3505;PUERTO TIROL
H;3514;MAKALLE
H;3530;GENERAL JOSE DE SAN MARTIN
H;3540;VILLA ANGELA
H;3541;CORONEL DU GRATY
H;3707;TRES ISLETAS
H;3709;JUAN JOSE CASTELLI
U;9120;PUERTO MADRYN
U;9000;COMODORO RIVADAVIA
U;9000;RADA TILLY
U;9100;TRELEW
U;9103;RAWSON
U;9105;GAIMAN
U;9107;DOLAVON
U;9200;ESQUEL
U;9203;TREVELIN
U;9211;LAGO PUELO
U;9213;EL HOYO
U;9217;EPUYEN
U;9220;GOBERNADOR COSTA
U;9011;SARMIENTO
U;9110;PASO DE INDIOS
X;5000;CORDOBA
X;5000;ALTO ALBERDI
X;5000;BARRIO GENERAL PAZ
X;5000;CERRO DE LAS ROSAS
X;5105;VILLA ALLENDE
X;5111;SALDAN
X;5113;MENDIOLAZA
X;5115;UNQUILLO
X;5117;RIO CEBALLOS
X;5119;SALSIPUEDES
X;5152;VILLA CARLOS PAZ
X;5153;SAN ANTONIO DE ARREDONDO
X;5153;MAYU SUMAJ
X;5153;CUESTA BLANCA
X;5186;ALTA GRACIA
X;5187;ANISACATE
X;5194;VILLA GENERAL BELGRANO
X;5196;SANTA ROSA DE CALAMUCHITA
X;5900;VILLA MARIA
X;5900;VILLA NUEVA
X;2400;SAN FRANCISCO
X;5800;RIO CUARTO
X;5220;JESUS MARIA
X;5223;COLONIA CAROYA
X;5870;VILLA DOLORES
X;5889;MINA CLAVERO
X;5891;CURA BROCHERO
X;5200;DEAN FUNES
X;5214;VILLA DE SOTO
X;5280;CRUZ DEL EJE
X;5178;LA CUMBRE
X;5174;HUERTA GRANDE
X;5172;LA FALDA
X;5166;COSQUIN
W;3400;CORRIENTES
W;3400;RIACHUELO
W;3400;SANTA ANA DE LOS GUACARAS
W;3401;PASO DE LA PATRIA
W;3403;ITATI
W;3414;SAN COSME
W;3450;GOYA
W;3454;ESQUINA
W;3460;CURUZU CUATIA
W;3470;MERCEDES
W;3230;PASO DE LOS LIBRES
W;3300;SANTO TOME
W;3301;GOBERNADOR VIRASORO
W;3420;BELLA VISTA
W;3422;SALADAS
W;3423;SANTA ROSA
W;3233;MONTE CASEROS
W;3306;ALVEAR
E;3100;PARANA
E;3100;SAN BENITO
